Muestra ID,Descripción,Fecha de Muestreo,NAGpH A,NNP B,Potencial de Neutralización de Ácido (NP),Potencial de Generación de Ácido (AP)
CAP-01_wr,Pila de Tepetate,2021,7.64,42.8,83.06,40.31
CAP-02_wr,Pila de Tepetate,2021,8.17,49.8,72.63,22.88
CAP-03_wr,Pila de Tepetate,2021,6.03,-28.81,71.63,100.44
CAP-08_wr,Tepetate Antiguo #1,2021,2.59,-25.79,1.99,27.78
CAP-09_wr,Tepetate Antiguo #2,2021,7.16,-1.56,17.38,18.94
CAP-10_wr,Tepetate Antiguo #3,2021,2.15,-203.09,11.88,214.97
CAP-14_wr,Tepetate - Lutita,2021,7.82,86.2,110.5,24.31
CAP-15_wr,Tepetate - Toba,2021,8.10,79.3,82.5,3.19
CAP-19_wr,Tepetate - Toba,2021,8.52,129.1,129.25,0.19
CAP-20_wr,Tepetate - Toba,2021,8.43,115.8,117.25,1.44
CAP-21_wr,Tepetate - Toba,2021,8.06,34.5,38.88,4.38
CAP-16_wr,Tepetate - Metamorfizado,2021,8.67,202.2,220.57,18.38
CAP-17_wr,Tepetate - Metamorfizado,2021,8.75,146.4,146.75,0.34
CAP-18_wr,Tepetate - Sulfuro Masivo,2021,2.51,-0.35,4.12,4.47
CAP-22_wr,Tepetate - Esquisto,2021,5.76,47.0,286.38,239.34
Presa de Jales 1-M1,Presa de Jales 1-M1 (2020),2020,,-150.26,85.2,235.46
CAP-05_os,Mineral,2021,3.88,-218.21,48.13,266.34
CAP-06_os,Mineral,2021,2.88,-277.32,19.65,296.97
CAP-04_bm,Material de Préstamo,2021,7.55,42.9,43.5,0.59
